namespace,cbb_err_msg
AAPLNE0121,신규 신청시 신청번호를 입력할 수 없습니다. 
AUIACE0001,시스템 오류입니다. 거래담당자에게 문의하십시오. 데이터 컨테이너의 클래스 유형 오류입니다.
AUIACE0002,시스템 오류입니다. 거래담당자에게 문의하십시오. 데이터 컨테이너의 클래스 유형 오류입니다.
AUIACE0003,외화처리 시에는 거래총금액(0)과 외화거래국내통화금액(1)이 일치해야합니다. 입력하신 금액을 확인하시기 바랍니다.
AUIACE0004,인도인수대상이 타점권일 경우 인도인수타점권매수는 0보다 커야 하고, 타점권이 아닐 경우 인도인수타점권매수는 0이어야 합니다. 인도인수대상 및 인도인수타점권매수를 확인하세요.
AUIACE0005,업무개시원장이 존재하지 않습니다. 시스템 담당자에게 문의 하세요.
AUIACE0006,거래금액이 대체금액보다 큽니다. 거래금액을 확인 하십시오.
AUIACE0007,인도(수)하려는 스태프와 인수(도)하려는 스태프는 같을 수 없습니다. 스태프 정보를 확인하세요.
AUIACE0008,시재보유한도금액은 0보다 커야합니다. 입력값을 다시 확인하세요.
AUIACE0009,현재 부서를 상대점으로 설정 할수 없습니다. 상대점을 확인 하십시오.
AUIACE0010,직전 결산스텝이 종료되어야 진행할 수 있습니다. 다시 실행해주세요.
AUIACE0011,실행하려는 결산스텝이 없습니다. 선택 후 다시 실행하세요.
AUIACE0012,진행 중인 결산스텝이 종료되어야 실행할 수 있습니다. 처리종료된 후 다시 실행하세요.
AUIACE0015,외화 시재인수도의 경우, 현금 또는 대체로만 처리할 수 있습니다. 현금대체구분 입력값을 확인하십시오.
AUIACE0016,인도인수금액 또는 인도인수외화금액은 필수 입력값입니다 금액을 입력하세요.
AUIACE0017,타점권을 인수도할 경우, 타점권매수를 입력해야 합니다. 타점권매수를 입력하세요.
AUIACE0018,일부대체금액은 출금금액보다 적어야합니다. 입력금액을 확인하세요.
AUIARE0001,계약계획은 계약이 활동 상태일 경우만 등록 할 수 있습니다 .
AUIARE0002,한도약정 상품은 상환거래 대상이 아닙니다. 계좌정보를 확인하십시요
AUIARE0003,최대지정가능휴대폰 수({0})를 미달하거나 초과하였습니다. 지정 휴대폰 수를 확인하여 주십시오.
AUIARE0004,최대지정가능계좌 수({0})를 미달하거나 초과하였습니다. 지정 계좌 수를 확인하여 주십시오.
AUIASE0001,당행예적금 담보가 아닙니다.  다시 선택하십시오.
AUIASE0002,자산내역을 추가하지 않았습니다.  대출가능금액 산출을 위한 자산내역을 추가하십시오.
AUIASE0003,아파트 시세 조회를 먼저 하십시오. 
AUIASE0004,관련자산이 부동산이 아닙니다.  다시 선택하십시오.
AUIASE0005,확정취소 대상 선택후 다시 거래하십시오. 
AUIASE0006,확정대상 선택 후 다시 거래하십시오. 
AUIASE0007,보증서관련 식별자가 아닙니다. 정확한 자산식별자를 입력하십시오. 
AUIASE0008,자산종류와 자산유형이 불일치합니다. 입력값을 확인하십시오. 
AUIASE0009,보증인관련 자산이 아닙니다. 다시 선택하십시오. 
AUIASE0010,자산등록후 설정등록이 가능합니다.  먼저 자산을 등록하십시오.
AUIASE0011,소유자가 중복되었습니다. 소유자를 확인하십시오.
AUIASE0012,감정내역이 선택되지 않았습니다.  감정내역을 선택하여 주십시오.
AUIASE0013,연결상태인 설정내역이 존재합니다. 
AUIASE0014,선택건이 존재하지 않습니다. 설정을 선택하여 주십시오.
AUIASE0015,연결되지않은 설정내역이 존재합니다. 
AUIATE0001,인증번호가 전송되었습니다. 인증번호를 입력하십시오.  
AUIATE0002,인증 완료되었습니다.  
AUIATE0003,인증이 실패되었습니다. 입력 값을 확인하십시요.
AUIATE0004,필수 동의항목을 모두 동의해주세요.  
AUIATE0005,귀하의 ID는 다음과 같습니다 .
AUIATE0006,다시 로그인 해주세요 .
AUIATE0007,설정된 거래 비밀번호가 없습니다. 등록 화면으로 이동합니다.
AUIATE0008,기등록된 자료는 행삭제할 수 없습니다. 
AUIATE0009,삭제할 자료가 없습니다. 
AUIATE0010,기등록된 자료만 삭제할 수 있습니다. 
AUIATE0011,저장할 자료가 없습니다. 입력 값을 확인하십시요.
AUIATE0012,상위부서는 대상부서와 다른 부서를 선택하십시오. 입력 값을 확인하십시요.
AUIATE0013,등록된 대표자 정보가 아닙니다. 신규등록하시겠습니까? 
AUIATE0014,등록된 담당자 정보가 아닙니다. 신규등록하시겠습니까? 
AUIATE0015,등록된 법인 정보가 아닙니다. 신규등록하시겠습니까? 
AUIATE0016,폐점하시겠습니까? 
AUIATE0017,ID 정보를 찾을 수 없습니다.  
AUIATE0018,입력하신 정보가 고객정보와 다릅니다.  
AUIATE0019,선택된 상품이 없습니다. 상품을 선택해주십시오.
AUIATE0020,Risk Appetite 정보가 등록되지 않았습니다. 등록하시겠습니까?  
AUIATE0021,비밀번호는 문자, 숫자, 특수문자 중 2가지 이상으로 구성해야 합니다. 
AUIATE0022,비밀번호는 6 ~ 20자리로 입력해야 합니다.  
AUIATE0023,문서작성유형이 "템플릿내용무"가 아닌 자료만 저장할 수 있습니다. 
AUIATE0024,소속스태프가 있는 경우 폐점할 수 없습니다. 
AUIATE0025,하위부서도 폐점처리됩니다. 폐점하시겠습니까? 
AUIATE0026,다음 입력 값들은 전부 입력하거나, 전부 입력하지 않아야 합니다.  
AUIATE0027,스태프를 퇴사상태로 변경하시겠습니까?  
AUIATE0028,부서 상태가 정상이 아닌 부서 정보는 변경할 수 없습니다.  
AUIATE0029,하위부서를 생성할 부서를 먼저 선택해 주십시오.  
AUIATE0030,회계처리가능부점인 경우, 회계조직에 등록되어야 합니다. 회계조직을 등록해 주십시오.
AUIATE0031,회계조직을 삭제하려면 회계처리가능부점여부를 변경하십시오.  
AUIATE0032,정상상태가 아닌 파트너정보는 변경불가능합니다. 입력 값을 확인하십시오.
AUIATE0033,파트너를 종료하시겠습니까? 
AUIATE0034,동일한 부서식별자, 역할식별자, 유효시작일자로 기등록된 역할정보가 있습니다. 기등록된 정보를 삭제하고 재등록해 주십시오.
AUICME0001,메시지에 중괄호를 사용할 수 없습니다. 중괄호를 제거해주세요.
AUICME0002,삭제할 메시지가 없습니다. 삭제할 에러 메시지를 체크하세요.
AUICME0003,서버에 저장되지 않은 메시지 행이 포함되어 있습니다. 메시지를 확인하세요.
