namespace,cbb_items
AT#abrvtnDmnEngNm,도메인영문속성
AT#abrvtnDmnGrpCd,
AT#abrvtnDmnHangulNm,
AT#abrvtnDmnNm,
AT#accrualBasisYn,발생주의적용여부
AT#accrualYn,발생주의여부
AT#accruedBalOvrduIntAmt,미수잔액연체이자금액
AT#accruedDpstAgrmntIntAmt,미수약정이자금액
AT#accruedDpstBaseIntAmt,미수기준이자금액
AT#accruedDpstBasePrncplAmt,미수기준원금금액
AT#accruedDpstIntAmt,미수이자금액
AT#accruedDpstIntCalcnDt,미수이자계산년월일
AT#accruedDpstOvrduIntAmt,미수연체이자금액
AT#accruedDpstPrncplAmt,미수원금금액
AT#accruedIntOvrduIntAmt,미수이자연체이자금액
AT#accruedLnIntAmt,미지급여신이자금액
AT#acctActvtnYn,계좌활성화여부
AT#acctBal,계좌잔액
AT#acctChkSignCd,계좌검증부호코드
AT#acctCndInqryDscd,계좌조건조회구분코드
AT#acctDscd,계좌구분코드
AT#acctInfoInqryDscd,계좌정보조회구분코드
AT#acctKndCd,계좌종류코드
AT#acctLen,계좌길이
AT#acctLnpSeq,계좌정렬순서
AT#acctMgmtFeeAmt,계좌관리수수료금액
AT#acctMgmtOfcCd,계좌관리사무소코드
AT#acctNbr,계좌번호
AT#acctNbrChngRsnCd,계좌번호변경사유코드
AT#acctNbrChngSeqNbr,계좌번호변경일련번호
AT#acctNbrDstpCd,계좌번호식별유형코드
AT#acctNbrNm,계좌번호명
AT#acctNbrgCd,계좌번호채번용코드
AT#acctNbrgClassNm,계좌채번클래스
AT#acctNbrgRuleClassNm,계좌채번규칙클래스명
AT#acctNckNm,계좌별명
AT#acctNm,계좌명
AT#acctOpnCnt,계좌개설건수
AT#acctOpnStampTax,계좌개설인지세       
AT#acctOwnrDt,예금주생일자
AT#acctOwnrNm,예금주명
AT#acctPswd,계좌비밀번호
AT#acctSrchDscd,계좌조회구분
AT#acctStsCd,계좌상태
AT#acctTrnsfrAmt,계좌이체금액
AT#acctTrnsfrPdCd,계좌이체상품코드
AT#acctgAblYn,회계처리가능여부
AT#acctgAmt,계리금액
AT#acctgBal,계정잔액
AT#acctgBaseDscd,회계기준구분
AT#acctgBaseDt,회계기준일자
AT#acctgBrnchCd,회계부점코드
AT#acctgCd,계정코드
AT#acctgCrncyCd,회계통화코드
AT#acctgDeptId,회계부서식별자
AT#acctgDmnthAcmltdAmt,계리월중누계액
AT#acctgDmnthDmstcAcmltdAmt,계리월중국내통화누계액
AT#acctgDmstcAmt,회계원화금액
AT#acctgDmstcCrncyBal,계리국내통화잔액
AT#acctgDscd,회계구분코드
AT#acctgDstnctnNm,계정구분
AT#acctgDtrmAcmltdAmt,계리기중누계액
AT#acctgDtrmDmstcAcmltdAmt,계리기중국내통화누계액
AT#acctgExmptnAmt,회계처리면제금액
AT#acctgFrgnAmt,회계외화금액
AT#acctgHlfMnthAcmltdAmt,계리반월적수
AT#acctgHlfMnthDmstcAcmltdAmt,계리반월국내통화적수
AT#acctgItmCd,계정과목코드
AT#acctgItmNm,계정과목명
AT#acctgItmOutpSeqNbr,계정출력순서번호
AT#acctgItmPrcsBrnchCd,계정처리부점코드
AT#acctgItmPrcsYn,계정처리여부
AT#acctgLogSeqNbr,계리로그일련번호
AT#acctgNm,회계명
AT#acctgPrcsDeptYn,회계처리가능부점여부
AT#acctgPrcsYn,회계처리여부
AT#acctgPrcsngDt,회계처리일자
AT#acctgTitlAcctgAbrvtnNm,계리계정과목약어명
AT#acctgYr,회계년도
AT#acdntFundsTrnsfrDt,사고자금이체일
AT#acdntOcrAcctNbr,사고발생계좌번호
AT#acdntOcrAcctOwnrNm,사고발생계좌예금주명
AT#acdntOcrDt,사고발생일자
AT#acdntRgstrnDt,사고등록일자
AT#acdntRgstrnHms,사고등록시간
AT#acdntTrmntnDt,사고해지일자
AT#acmltdAmt,적수금액
AT#acmltdBaseMnth,적수기준년월
AT#acmltdCalcnMthdCd,적수산정방법
AT#acmltdTpCd,적수유형
AT#acptncAmt,인수금액
AT#acptncDt,접수년월일
AT#acptncFeeLevyDt,인수수수료징수년월일
AT#acptncFeeRt,인수수수료율
AT#acptncInfoCntnt,접수정보
AT#acptncNewCnt,은행접수신규건수
AT#acptncRspsnId,
AT#acptncStaffId,위임받는스태프식별자
AT#acstnAcptncYn,고소장접수여부
AT#actinScsflBddrNm,경매낙찰인명
AT#actinWinBidAmt,경매낙찰금액
AT#actinWinBidDt,경매낙찰일자
AT#actorActorRelCd,액터액터관계코드
AT#actorActorRelStsCd,액터액터관계상태코드
AT#actorActorRelStsChngRsnCd,액터액터관계상태변경사유코드
AT#actorActorRelStsChngRsnCntnt,액터액터관계상태변경사유내용
AT#actorCtcptChngSeqNbr,액터연락처변경일련번호
AT#actorCtcptCntnt,액터연락처내용
AT#actorCtcptId,액터연락처식별자
AT#actorCtcptIdCntnt,액터연락처식별내용
AT#actorDscd,액터구분코드
AT#actorDtlTpCd,액터상세유형
AT#actorId,액터식별자
AT#actorNm,액터명
AT#actorNmSeqNbr,액터명일련번호
AT#actorNmStsCd,액터명상태코드
AT#actorNmStsRsnCd,액터명상태사유코드
AT#actorNmTpCd,액터명유형
AT#actorRgstrnDt,액터등록년월일
AT#actorStsCd,액터상태코드
AT#actorStsChngRsnCd,액터상태변경사유코드
AT#actorStsSeqNbr,액터상태일련번호
AT#actorTaxRtCd,액터납세율코드
AT#actorTaxtnTpCd,액터납세유형코드
AT#actorTpCd,액터유형
AT#actorUnqIdNbr,신분증번호
AT#actorUnqIdNbrSeqNbr,액터고유식별번호일련번호
AT#actorUnqIdNbrStsCd,액터고유식별번호상태코드
AT#actorUnqIdNbrStsRsnCd,액터고유식별번호상태사유코드
AT#actorUnqIdNbrTpCd,액터고유식별번호유형
AT#actorXtnAtrbtStsCd,액터확장속성상태코드
AT#actorXtnValIdCntnt,액터확장값식별내용
AT#actorXtnValTpCd,액터확장값유형코드
AT#actoraRelStsChngRsnCd,액터액터관계상태변경사유코드
AT#actoraRelStsChngRsnCntnt,액터액터관계상태변경사유내용
AT#actordRelSeqNbr,액터부서관계일련번호
AT#actordRelStsCd,액터부서관계상태코드
AT#actordRelStsChngRsnCd,액터부서관계상태변경사유코드
AT#actordRelStsChngRsnCntnt,액터부서관계상태변경사유내용
AT#actordRelTpCd,액터부서관계유형코드
AT#actualBal,실잔액
AT#actualInspctnTrgtBizCtgryYn,실사대상업종여부
AT#actualLandClCd,실제지목코드
AT#actualPymntAmt,실지급금액
AT#actualPymntCnt,실지급건수
AT#actualRcptAmt,실수납액
AT#actualRsltEvltnSumScore,실적평가합계점수
AT#actualTrnsfrAmt,실제이체금액
AT#actvBtnVal,활성버튼
AT#actvStsCd,활동상태코드
AT#actvUserYn,활동사용자여부
AT#actvYn,활동여부
AT#actvtyCntnt,액티비티내용
AT#actvtyId,액티비티식별자
AT#actvtyNm,액티비티명
AT#actvtyScore,활동성점수
AT#addCurrentVal,ADD현재가치
AT#addIntRt,가감금리
AT#addSbtrctCd,가감코드
AT#addSbtrctDrctnOpsitYn,잔액증감반대여부
AT#addedOrderCntnt,부가지시내용
AT#addr,주소
AT#addrChngYn,주소변동여부
AT#addrCntnt,주소내용
AT#addrDscd,주소구분코드
AT#addrHrarcyCd,주소체계코드
AT#addrHrarcySeqNbr,주소체계일련번호
AT#addrId,주소식별자
AT#addrSrchTpCd,주소검색유형
AT#addrSysCd,주소시스템코드
AT#adjmntIntRt,조정이율
AT#adjstmntAmt,조정금액
AT#adjstmntCnt,조정건수
AT#adjstmntFeeAmt,조정수수료
AT#adjstmntOpnProxyFeeAmt,조정개설대행수수료
AT#adminDongCd,행정동코드
AT#adminDongNm,행정동명
AT#adriAddr,리주소
AT#adriCd,리코드
AT#adtnAmt,가산금
AT#adtnIntRt,가산금리
AT#adtnRdctnIntRt,가산감면금리
AT#adtnSbtrctnDscd,가감구분
AT#adtnlAcctNbr,추가적인계좌번호
AT#adtnlAtrbtCntnt,추가속성내용
AT#adtnlAtrbtNm,추가속성명
AT#adtnlChargeDscd,추징구분
AT#adtnlDocQryYn,추가서류조회여부
AT#adtnlDtlNm,부가상세명
AT#adtnlInfoCd,부가정보코드
AT#adtnlInfoCntnt,부가정보내용
AT#adtnlInfoDscd,부가정보구분
AT#adtnlInfoDstnctnNm,부가정보구분명
AT#adtnlInfoExstncYn,부가정보존재여부
AT#adtnlInfoSeqNbr,부가정보일련번호
AT#adtnlInfoTpDscd,부가정보유형구분코드
AT#adtnlInfoVal,부가정보값
AT#adtnlIntRt,추가이율
AT#adtnlOpnnCntnt,추가의견
AT#adviceAmt,통지금액
AT#adviceBnkBic,통지은행BIC
AT#adviceBnkNm,통지은행명
AT#adviceTpDscd,통지유형구분코드
AT#advncdDemandDpstBal,ADD잔액
AT#advncdDemandDpstIntAmt,ADD이자금액
AT#advncdDemandDpstPdCd,ADD상품코드
AT#afAmrtztnCostOcrAmt,상각후비용발생금액
AT#afAplctnDt,신청년월일(이후)
AT#afCashRcvdAmt,마감후입금금액
AT#afCashWhdrwlAmt,마감후출금금액
AT#afChngAcctNbr,변경후계좌번호
AT#afChngArrMtrtyDt,변경후계약만기일자
AT#afChngArrStsCd,변경후계약상태코드
AT#afChngAtrbtCntnt,변경후속성내용
AT#afChngAtrbtNm,변경후속성명
AT#afChngClAmt,변경후분류금액
AT#afChngCndCdCntnt,변경후조건코드내용
AT#afChngCndVal,변경후조건값
AT#afChngCndValCntnt,변경후조건값내용
AT#afChngCnfrmtnPswd,변경후확인비밀번호
AT#afChngCntnt,변경후내용
AT#afChngCustId,변경후고객식별자
AT#afChngCustNm,변경후고객명
AT#afChngCustUnqIdNbr,변경후실명번호
AT#afChngExprtnDt,변경후유효기일년월일
AT#afChngLessRt,변경후LESS율
AT#afChngMoreRt,변경후MORE율
AT#afChngOpnAmt,변경후개설금액
AT#afChngPayerNbr,변경후납부자번호
AT#afChngPswd,변경후비밀번호
AT#afChngQualityClCd,변경후건전성분류코드
AT#afChngRprsnRlnmDscd,변경후관련인실명구분코드
AT#afChngRprsnRlnmNbr,변경후관련인실명번호
AT#afChngRpymntSchdldDt,변경후 상환예정일자
AT#afChngXtnAtrbtCntnt,변경후확장속성내용
AT#afDlnDt,납기후납기일
AT#afDlnInsrncArrearsAmt,납기후산재보험연체금
AT#afDlnPensionEmplymntPremiumAmt,납기후연금고용보험료
AT#afDlyRpymntDt,연기후상환일자
AT#afLastAprvlDt,최종승인일(이후)
AT#afMtrtyOvrduYn,만기후연체여부
AT#afOpnDt,신규년월일(이후)
AT#afPrcsngInfoCntnt,후처리정보
AT#afPrdAmt,납기후금액
AT#afPymntAgrmntBal,지급후약정잔액
AT#afRdpstIntCalcnWhdrwlSumAmt,이자계산재예치후출금합산액
AT#afTdyFrstUnpdDt,금일이후첫미지급일자
AT#afTxBalAmt,
AT#afTxInfoJson,거래후정보JSON
AT#age,연령
AT#agrmntAmt,약정금액
AT#agrmntAmtInqryYn,약정금액조회여부
AT#agrmntBal,약정잔액
AT#agrmntDocId,동의문서식별자
AT#agrmntDocIssueId,동의문서발행식별자
AT#agrmntDt,동의일자
AT#agrmntGoalCd,동의목적코드
AT#agrmntHms,동의시분초
AT#agrmntIntRt,약정금리
AT#agrmntMkngDt,합의서작성일자
AT#agrmntMndtryYn,동의필수여부
AT#agrmntRt,약정이율
AT#agrmntSeqNbr,동의일련번호
AT#agrmntTpCd,동의유형
AT#agrmntTpCdNm,동의유형코드명
AT#agrmntTrmCnt,약정기간
AT#agrmntYn,동의여부
AT#alBalWhdrwlBlckngYn,전체잔액출금제한여부 
AT#alDpstAmt,전체입금금액
AT#alInstAplyYn,전기관적용여부
AT#alPymntDsNbr,전체납부구분번호
AT#alWhdrwlAmt,전체출금금액
AT#alarmDescCntnt,알람설명내용
AT#alctnQnty,할당수량
AT#algrthmId,알고리즘ID
AT#aliasId,별칭식별자
AT#aliasNm,별칭명
AT#allotAmt,할부금액
AT#allotAmtPerMnth,월별할부금액
AT#allotCnt,할부건수
AT#alncCdAutoTlrMachineFeeAmt,제휴CDATM대행수수료
AT#alncCmpnyTxUnqNbr,제휴사거래고유번호
AT#alncCntrctNbr,제휴계약번호
AT#alncNonProfitAsctnNm,제휴비영리단체명
AT#alreadyCrdtLnAmt,기신용대출금액
AT#alreadyExistChkYn,기존재건확인여부
AT#alreadyGrntAmt,기보증금액
AT#alreadyPymntAmt,기납부금액
AT#alreadyPymntUseSysCd,기납부사용시스템코드
AT#alreadyWhdrwlAmt,기출금금액
AT#amdmntPrhbtnYn,수정불가여부
AT#amdmntTrnsfrYn,조건변경양도여부
AT#amrtztnAmt,할부상환금액
AT#amrtztnMnthCnt,할부월수
AT#amrtztnRndPstnLen,할부상환소수점자리수
AT#amt,금액
AT#amtChkSignCd,금액검증부호코드
AT#amtCmptnCndKndCd,금액산출조건종류코드
AT#amtCmptnCndKndCdNm,금액산출조건종류코드명
AT#amtCmptnDscd,금액산출구분코드
AT#amtCmptnInfoSeqNbr,금액산출정보일련번호
AT#amtCndMaxVal,금액조건최대값
AT#amtCndMinVal,금액조건최소값
AT#amtCndYn,금액조건여부
AT#amtDscd,금액구분
AT#amtKndDscd,금액종류구분
AT#amtNcsrYn,금액필요여부
AT#amtPrtlRpymntYn,금액부분상환여부
AT#amtTpCd,금액유형코드
AT#amtTpCdNm,금액유형코드명
AT#amtTpCndYn,금액유형조건여부
AT#amtTpDscd,금액유형구분
AT#amtTpDscdNm,금액유형구분코드명
AT#amtTpNm,금액유형명
AT#amtTpRpymntSeq,금액유형상환순서
AT#amtVldtnNbr,금액검증번호
AT#amtVldtnSeqNbr,금액검증일련번호
AT#analIncomeAmt,연소득
AT#analNetPlBal,순PL잔액
AT#ancmntCrncyDscd,고시통화구분
AT#ancmntDt,고시일자
AT#ancmntExRt,고시환율
AT#ancmntNth,고시회차
AT#anlzdIncomeAmt,연금소득금액
AT#anlzdPiamtEstmtAmt,연간원리금추정금액
AT#anlzdPiamtRpymntAmt,연간원리금상환금액
AT#anlzdPrprtyTax,연간재산세
AT#anlzdRtrnRt,연환산수익률
AT#anlzdSalesAmt,연간매출액
AT#answerCntnt,답변내용
AT#answerTrgtId,답변대상식별자
AT#answerTrgtTpCd,답변대상유형코드
AT#aplcntNm,개설의뢰인명
AT#aplctnAcctNbr,신청계좌번호
AT#aplctnAcptncBrnchCd,신청서접수점코드
AT#aplctnAmt,신청금액
AT#aplctnArrId,신청계약식별자
AT#aplctnBnkCd,신청은행코드
AT#aplctnCd,어플리케이션코드
AT#aplctnChnlDscd,신청채널구분코드
AT#aplctnCustId,신청고객식별자
AT#aplctnCustNm,신청고객명
AT#aplctnDeptId,신청부서식별자
AT#aplctnDeptNm,신청부서명
AT#aplctnDscd,신청구분코드
AT#aplctnDt,신청일자
AT#aplctnFailrCnt,신청오류건수
AT#aplctnFeeQryYn,신청 수수료 조회 여부
AT#aplctnHms,신청시각
AT#aplctnId,어플리케이션 ID
AT#aplctnInfoCntnt,신청정보
AT#aplctnNbr,신청번호
AT#aplctnNm,어플리케이션명
AT#aplctnPersonNm,신청인명
AT#aplctnPrcsDscd,신청진행구분코드
AT#aplctnRsltCd,신청결과코드
AT#aplctnRsltFailrCnt,신청결과오류건수
AT#aplctnSeqNbr,신청일련번호
AT#aplctnStaffId,신청스태프식별자
AT#aplctnStaffNm,신청자
AT#aplctnStsCd,신청상태코드
AT#aplctnTrmCnt,신청기간수
AT#aplntNm,항고인명
AT#aplyAmt,신청금액
AT#aplyAssetRcgntnRt,적용자산인정비율
AT#aplyBaseExRt,적용기준환율
AT#aplyBaseExRtAncmntNth,적용기준환율고시회차
AT#aplyBaseIntRt,적용기준금리
AT#aplyBaseIntRtTmCd,적용기준금리시점코드
AT#aplyBasePrice,적용기준가격
AT#aplyClassNm,적용클래스명
AT#aplyCltrlRcgntnRt,적용담보인정비율
AT#aplyCndVal,적용조건값
AT#aplyDescCntnt,적용사유
AT#aplyDt,적용일자
AT#aplyEndDt,적용종료일자
AT#aplyEndHms,적용종료시간
AT#aplyEndTmstmp,적용종료년월일시
AT#aplyExRt,적용환율
AT#aplyExRtBaseDt,적용환율기준일자
AT#aplyExRtDscd,적용환율구분코드
AT#aplyExRtNth,적용환율회차
AT#aplyFeeRt,적용수수료율
AT#aplyIntRt,적용금리
AT#aplyIntRtInqryYn,적용금리조회여부
AT#aplyIntRtKndCd,적용금리종류코드
AT#aplyIntRtKndCdNm,적용금리종류코드명
AT#aplyIntRtSeqNbr,적용금리일련번호
AT#aplyIntRtStsCd,적용금리상태코드
AT#aplyIntRtStsChngRsnCd,적용금리상태변경사유코드
AT#aplyIntRtValSeqNbr,적용금리값일련번호
AT#aplyIntRtValStsCd,적용금리값상태코드
AT#aplyLvlNbr,적용레벨번호
AT#aplyMaxIntRt,적용최대금리
AT#aplyMinIntRt,적용최소금리
AT#aplyPrfIntRt,적용우대금리
AT#aplyPrfRt,적용우대율
AT#aplyPswdVldtnRuleCntnt,적용비밀번호검증규칙
AT#aplyRt,적용이율
AT#aplyRuleCntnt,적용규칙
AT#aplyRuleId,적용규칙ID
AT#aplySeq,적용순서
AT#aplyStartDt,적용시작일자
AT#aplyStartDtTm,적용시작년월일시
AT#aplyStartHms,적용시작시간
AT#aplyStartTmstmp,적용시작년월일시
AT#aplyTaxRt,적용세율
AT#aplyTrgtAmtDscd,적용대상금액구분
AT#aplyYn,적용여부
AT#appendFeeAmt,추가수수료금액
AT#appendFeeCnt,추가수수료건수
AT#applDt,항고일자
AT#applYn,항고여부
AT#appliedArrInqryYn,신청상태계약조회여부
AT#aprslAmt,감정금액
AT#aprslBizTripDesiredDt,감정출장희망일자
AT#aprslCmpltnDesiredDt,감정완료희망일자
AT#aprslCustRelCd,감정고객관계코드
AT#aprslCustRelSeqNbr,감정고객관계일련번호
AT#aprslCustRelStsCd,감정고객관계상태코드
AT#aprslDeptRelCd,감정부서관계코드
AT#aprslDeptRelSeqNbr,감정부서관계일련번호
AT#aprslDeptRelStsCd,감정부서관계상태코드
AT#aprslDt,감정일자
AT#aprslExmntnPrgrsStsCd,감정심사진행상태코드
AT#aprslExmntnRqstTpCd,감정심사의뢰유형
AT#aprslFeeExmptnRsnCd,감정수수료면제사유코드
AT#aprslFeeExmptnYn,감정수수료면제여부
AT#aprslId,감정식별자
AT#aprslInstPrtnrId,감정기관파트너식별자
AT#aprslMthdCd,감정방법코드
AT#aprslPrtnrRelCd,감정파트너관계코드
AT#aprslPrtnrRelSeqNbr,감정파트너관계일련번호
AT#aprslPrtnrRelStsCd,감정파트너관계상태코드
AT#aprslPurposeCd,감정목적코드
AT#aprslQryDscd,감정조회구분코드
AT#aprslReportNbr,감정서번호
AT#aprslRqstClCd,감정의뢰구분코드
AT#aprslRqstDeptId,감정의뢰부서식별자
AT#aprslRqstDt,감정의뢰일자
AT#aprslRqstId,감정의뢰식별자
AT#aprslRqstRspblStaffId,감정의뢰담당스태프식별자
AT#aprslRqstSeqNbr,감정의뢰일련번호
AT#aprslRqstStsCd,감정의뢰상태코드
AT#aprslStaffRelCd,감정스태프관계코드
AT#aprslStaffRelSeqNbr,감정스태프관계일련번호
AT#aprslStaffRelStsCd,감정스태프관계상태코드
AT#aprslStsCd,감정상태코드
AT#aprslStsDt,감정상태일자
AT#aprslThingSeqNbr,감정물건일련번호
AT#aprslValSumAmt,감정가합계금액
AT#aprsrCntnt,감정인의견
AT#aprsrNm,감정인명
AT#aprvDt,승인일자
AT#aprvId,승인ID
AT#aprvNcsrYn,승인필요여부
AT#aprvStsDscd,승인상태구분
AT#aprvTpDscd,승인유형구분
AT#aprvlAmt,승인금액
AT#aprvlAplctnAmt,승인신청금액
AT#aprvlAplctnCntnt,승인신청내용
AT#aprvlAplctnCustId,승인신청고객식별자
AT#aprvlAplctnCustNm,승인신청고객명
AT#aprvlAplctnDt,승인신청일자
AT#aprvlAplctnEndDt,승인신청종료일자
AT#aprvlAplctnIntRt,승인신청이율
AT#aprvlAplctnLnTrmCnt,승인신청대출기간
AT#aprvlAplctnStartDt,승인신청시작일자
AT#aprvlAplctnTrmCnt,승인신청기간
AT#aprvlBizCtgryCd,승인업종코드
AT#aprvlCnclAblYn,결재취소가능여부
AT#aprvlCnclDt,승인취소일자
AT#aprvlCnclDtlHms,승인취소상세시각
AT#aprvlCnclRsnCd,승인취소사유코드
AT#aprvlCndCd,승인조건코드
AT#aprvlCndDscd,결재조건구분코드
AT#aprvlCndNbr,승인조건번호
AT#aprvlCndUseYn,승인조건사용여부
AT#aprvlCntnt,승인내용
AT#aprvlDemandDeptId,승인요청부서식별자
AT#aprvlDemandDeptNm,승인요청부서명
AT#aprvlDemandDt,승인요청일자
AT#aprvlDemandStaffId,승인요청스태프식별자
AT#aprvlDemandStaffNm,승인요청스태프명
AT#aprvlDeptDscd,승인부서구분코드
AT#aprvlDeptId,승인부서식별자
AT#aprvlDeptNm,승인부서명
AT#aprvlDscd,승인구분코드
AT#aprvlDt,결재일자
AT#aprvlDtlStsCd,승인상세상태코드
AT#aprvlExctnStaffId,승인실행스태프식별자
AT#aprvlExctnStaffNm,승인실행스태프명
AT#aprvlFinDscd,승인완료구분
AT#aprvlHms,승인시간
AT#aprvlId,승인식별자
AT#aprvlLineNbr,결재선번호
AT#aprvlLineNm,결재선명
AT#aprvlLvlNbr,승인레벨번호
AT#aprvlMrchntNbr,승인가맹점번호
AT#aprvlMsgDscd,승인전문구분코드
AT#aprvlNbr,승인번호
AT#aprvlOpnnCntnt,승인의견내용
AT#aprvlPiamt,체킹
AT#aprvlPrhbtnRsnCntnt,승인불가사유
AT#aprvlPtrnDscd,결재패턴구분
AT#aprvlRgstrnStepId,결재라인등록스탭식별자
AT#aprvlRgstrnStepNm,결재라인등록스탭명
AT#aprvlRjctCntnt,승인거절내용
AT#aprvlRjctDeptId,승인거절부서식별자
AT#aprvlRjctStaffId,승인거절스태프식별자
AT#aprvlRjtRsnCd,승인거절사유코드
AT#aprvlRoleId,승인역할식별자
AT#aprvlRoleNm,승인역할명
AT#aprvlRsltCd,결재결과코드
AT#aprvlRsnCd,승인사유코드
AT#aprvlRsnNm,승인사유명
AT#aprvlSeq,결재순서
AT#aprvlSeqNbr,승인일련번호
AT#aprvlStaffId,승인스태프식별자
AT#aprvlStaffNm,승인스태프명
AT#aprvlStartDt,승인시작일자
AT#aprvlStgeCd,결재단계코드
AT#aprvlStgeDtlNbr,결재단계상세번호
AT#aprvlStgeDtlSeqNbr,결재단계상세일련번호
AT#aprvlStgePrcsSeqNbr,결재단계처리일련번호
AT#aprvlStgeStsCd,결재단계상태코드
AT#aprvlStsCd,승인상태
AT#aprvlTmpltDscd,승인템플릿구분코드
AT#aprvlTmpltId,승인템플릿식별자
AT#aprvlTmpltLvlCd,승인템플릿레벨코드
