namespace,cbb_items
AT#abrvtnDmnEngNm,Domain English Abbreviation
AT#abrvtnDmnGrpCd,Abbreviation Domain Group Code
AT#abrvtnDmnHangulNm,Abbreviation Domain Hangul Name
AT#abrvtnDmnNm,Abbreviation Domain Name
AT#accrualBasisYn,Accrual Basis Yn
AT#accrualYn,Accrual Yn
AT#accruedBalOvrduIntAmt,Accrued Balance Overdue Interest Amount
AT#accruedDpstAgrmntIntAmt,Accrued Deposit Agreement Interest Amount
AT#accruedDpstBaseIntAmt,Accrued Deposit Base Interest Amount
AT#accruedDpstBasePrncplAmt,Accrued Deposit Base Principal Amount
AT#accruedDpstIntAmt,Accrued Deposit Interest Amount
AT#accruedDpstIntCalcnDt,Accrued Deposit Interest Calculation Date
AT#accruedDpstOvrduIntAmt,Accrued Deposit Overdue Interest Amount
AT#accruedDpstPrncplAmt,Accrued Deposit Principal Amount
AT#accruedIntOvrduIntAmt,Accrued Interest Overdue Interest Amount
AT#accruedLnIntAmt,Accrued Loan Interest Amount
AT#acctActvtnYn,Account Activation Yn
AT#acctBal,Account Balance
AT#acctChkSignCd,Account Check Sign Code
AT#acctCndInqryDscd,Account Condition Inquiry Distinction Code
AT#acctDscd,Account Dscd
AT#acctInfoInqryDscd,Account Information Inquiry Distinction Code
AT#acctKndCd,Account Kind Code
AT#acctLen,Account Length
AT#acctLnpSeq,Account Lineup Sequence
AT#acctMgmtFeeAmt,Account Management Fee Amount
AT#acctMgmtOfcCd,Account Management Office Code
AT#acctNbr,Account No
AT#acctNbrChngRsnCd,Account Number Change Reason Code
AT#acctNbrChngSeqNbr,Account Number Change Sequence Number
AT#acctNbrDstpCd,Account Number Distinctiontype Code
AT#acctNbrNm,Account Number Name
AT#acctNbrgCd,Account Numbering Code
AT#acctNbrgClassNm,Account Numbering Class
AT#acctNbrgRuleClassNm,Account Numbering Rule Class Name
AT#acctNckNm,Account Nick Name
AT#acctNm,Account Name
AT#acctOpnCnt,Account Open Count
AT#acctOpnStampTax,Account Open Stamp Tax
AT#acctOwnrDt,Account Owner Date
AT#acctOwnrNm,Account Owner Name
AT#acctPswd,Account Password
AT#acctSrchDscd,account search distinctioncode
AT#acctStsCd,Account Status Code
AT#acctTrnsfrAmt,Account Transfer Amount
AT#acctTrnsfrPdCd,Account Transfer Product Code
AT#acctgAblYn,Accounting Able Yn
AT#acctgAmt,Accounting Amount
AT#acctgBal,Accounting balance
AT#acctgBaseDscd,Accounting Base Distinction
AT#acctgBaseDt,Accounting Base Date
AT#acctgBrnchCd,Account Branch Code
AT#acctgCd,Accounting Code
AT#acctgCrncyCd,Accounting Currency Code
AT#acctgDeptId,Accounting Department Identification
AT#acctgDmnthAcmltdAmt,Accounting During The Month Accumulated Amount
AT#acctgDmnthDmstcAcmltdAmt,Accounting During The Month Domestic Accumulated Amount
AT#acctgDmstcAmt,Accounting Domestic Amount
AT#acctgDmstcCrncyBal,Accounting Domestic Currency Balance
AT#acctgDscd,Ledger Kind (or Type)
AT#acctgDstnctnNm,Accounting Distinction
AT#acctgDtrmAcmltdAmt,Accounting During The Term Accumulated Amount
AT#acctgDtrmDmstcAcmltdAmt,Accounting During The Term Domestic Accumulated Amount
AT#acctgExmptnAmt,Accounting Exemption Amount
AT#acctgFrgnAmt,Accounting Foreign Amount
AT#acctgHlfMnthAcmltdAmt,Accounting Half Month Accumulated Amount
AT#acctgHlfMnthDmstcAcmltdAmt,Accounting Half Month Domestic Accumulated Amount
AT#acctgItmCd,Account Code
AT#acctgItmNm,Accounting Code Name
AT#acctgItmOutpSeqNbr,Output Seq.
AT#acctgItmPrcsBrnchCd,Accounting Item Processing Branch Code
AT#acctgItmPrcsYn,Accounting Item Processing Yn
AT#acctgLogSeqNbr,Accounting Log Sequence Number
AT#acctgNm,Accounting Name
AT#acctgPrcsDeptYn,Accounting Processable Department Yn
AT#acctgPrcsYn,Accounting Processing Yn
AT#acctgPrcsngDt,Accounting Processing Date
AT#acctgTitlAcctgAbrvtnNm,Short Name
AT#acctgYr,Accounting Year
AT#acdntFundsTrnsfrDt,Accident Funds Transfer Date
AT#acdntOcrAcctNbr,Accident Occurrence Account Number
