namespace,cbb_items
AT#accrualBasisYn,债券发生制应用是或否
AT#accrualYn,应计是否
AT#accruedDpstIntAmt,未收利息
AT#accruedLnIntAmt,未支付利息
AT#acctActvtnYn,帐户激活与否
AT#acctBal,账户余额
AT#acctCndInqryDscd,帐户条件查询区别代码
AT#acctInfoInqryDscd,账户信息查询区分代码
AT#acctLen,账户长度
AT#acctLnpSeq,帐号排列顺序
AT#acctMgmtFeeAmt,账户管理手续费
AT#acctNbr,帐号
AT#acctNbrChngRsnCd,账号更改原因代码
AT#acctNbrChngSeqNbr,账号更改序列号
AT#acctNbrDstpCd,账号识别类型代码
AT#acctNbrgClassNm,账户编号类
AT#acctNckNm,账户昵称
AT#acctNm,账户名称
AT#acctOpnCnt,账户开户个数
AT#acctOpnStampTax,账户开户印花税
AT#acctPswd,账户密码
AT#acctSrchDscd,
AT#acctStsCd,账户状态
AT#acctTrnsfrPdCd,转账商品代码
AT#acctgBal,会计余额
AT#acctgBaseDscd,
AT#acctgBrnchCd,会计分支行代码
AT#acctgCrncyCd,会计货币代码
AT#acctgDeptId,会计部门识别码
AT#acctgDmnthAcmltdAmt,会计月中积数
AT#acctgDmnthDmstcAcmltdAmt,精算国内货币月积数
AT#acctgDmstcAmt,精算国内货币金额
AT#acctgDmstcCrncyBal,精算国内货币余额
AT#acctgDscd,会计类别代码
AT#acctgDstnctnNm,会计科目区分
AT#acctgDtrmAcmltdAmt,会计期中积数
AT#acctgDtrmDmstcAcmltdAmt,精算国内货币分期积数
AT#acctgExmptnAmt,会计处理豁免金额
AT#acctgFrgnAmt,会计外币金额
AT#acctgHlfMnthAcmltdAmt,精算半月积数
AT#acctgHlfMnthDmstcAcmltdAmt,精算国内货币半月积数
AT#acctgItmCd,会计科目
AT#acctgItmNm,会计科目名称
AT#acctgItmOutpSeqNbr,会计科目输出序列号
AT#acctgItmPrcsBrnchCd,会计科目处理分行代码
AT#acctgItmPrcsYn,会计处理与否
AT#acctgPrcsDeptYn,会计处理可能的分理处与否
AT#acctgPrcsYn,会计处理与否
AT#acctgPrcsngDt,会计处理日期
AT#acctgTitlAcctgAbrvtnNm,会计科目缩写名称
AT#acdntOcrDt,事故发生年月日
AT#acdntRgstrnDt,事故登记日
AT#acdntRgstrnHms,
AT#acdntTrmntnDt,事故终止年月日
AT#acmltdAmt,积数金额
AT#acmltdBaseMnth,积数基准年月
AT#acmltdCalcnMthdCd,累积计算方法
AT#acmltdTpCd,积数类型代码
AT#acstnAcptncYn,指示接受是否
AT#actorActorRelCd,参与者参与者关系代码
AT#actorActorRelStsCd,参与者参与者关系状态代码
AT#actorActorRelStsChngRsnCd,参与者参与者关系状态更改原因代码
AT#actorActorRelStsChngRsnCntnt,参与者参与者关系状态更改原因内容
AT#actorCtcptChngSeqNbr,参与者联系方式更改序列编号
AT#actorCtcptCntnt,参与者联络点内容
AT#actorCtcptId,参与者联系方式识别码
AT#actorCtcptIdCntnt,参与者联系方式识别内容
AT#actorDscd,参与者类别代码
AT#actorDtlTpCd,
AT#actorId,参与者识别码
AT#actorNm,参与者名
AT#actorNmSeqNbr,参与者名序列编号
AT#actorNmStsCd,参与者名状态代码
AT#actorNmStsRsnCd,参与者名状态事由代码
AT#actorNmTpCd,
AT#actorStsCd,参与者状态代码
AT#actorStsChngRsnCd,参与者状态更改事由代码
AT#actorStsSeqNbr,参与者状态序列编号
AT#actorTpCd,客户类型代码
AT#actorUnqIdNbr,唯一识别号码
AT#actorUnqIdNbrSeqNbr,参与者唯一识别编号序列编号
AT#actorUnqIdNbrStsCd,参与者唯一识别编号状态代码
AT#actorUnqIdNbrStsRsnCd,参与者唯一识别编号状态事由代码
AT#actorUnqIdNbrTpCd,唯一识别号码类型
AT#actorXtnAtrbtStsCd,参与者扩展属性状态代码
AT#actorXtnValIdCntnt,参与者扩展值识别内容
AT#actorXtnValTpCd,参与者扩展值类型代码
AT#actualRsltEvltnSumScore,贡献评定合计分数
AT#actvBtnVal,活动按钮
AT#actvStsCd,活动状态代码
AT#actvUserYn,活动用户与否
AT#actvYn,活动是或否
AT#actvtyCntnt,活动内容
AT#actvtyId,活动识别码
AT#actvtyNm,活动名
AT#actvtyScore,活动分数
AT#addCurrentVal,添加当前值
AT#addSbtrctDrctnOpsitYn,余额增减反对与否
AT#addedOrderCntnt,添加订单内容
AT#addr,地址
AT#addrCntnt,地址内容
AT#addrHrarcyCd,地址体系代码
AT#addrHrarcySeqNbr,住址体系序号
AT#addrId,地址识别码
AT#addrSrchTpCd,
AT#adjmntIntRt,调整利率
AT#adminDongCd,行政洞代码
AT#adminDongNm,行政洞名
AT#adriAddr,里地址
AT#adriCd,里代码
AT#adtnRdctnIntRt,加减利率
AT#adtnSbtrctnDscd,加减类别代码
AT#adtnlAtrbtCntnt,附加属性内容
AT#adtnlChargeDscd,额外征收区别代码
AT#adtnlDocQryYn,附加文档查询与否
AT#adtnlInfoCd,附加信息类别代码
AT#adtnlInfoCntnt,附加信息内容
AT#adtnlInfoDscd,
AT#adtnlInfoDstnctnNm,附加信息区别名称
AT#adtnlInfoExstncYn,附加信息存在与否
AT#adtnlInfoSeqNbr,附加信息序列编号
